"","mu","Ne","Log.likelihood"
"291",1.5e-06,27,-3912.41071268712
"292",2e-06,27,-3845.27726759804
"293",2.5e-06,27,-3807.12338545037
"294",3e-06,27,-3787.30034590559
"295",3.5e-06,27,-3780.12779729519
"296",4e-06,27,-3782.21507592858
"297",4.5e-06,27,-3791.37513424335
"298",5e-06,27,-3806.11467155342
"299",5.5e-06,27,-3825.36857729078
"300",6e-06,27,-3848.35041323389
"301",6.5e-06,27,-3874.46294955559
"302",7e-06,27,-3903.24195009404
"303",7.5e-06,27,-3934.31939891377
"304",8e-06,27,-3967.39861923528
"305",8.5e-06,27,-4002.23694866004
"306",9e-06,27,-4038.63337388785
"307",1e-06,28,-4027.81411751252
"308",1.5e-06,28,-3908.34938967583
"309",2e-06,28,-3841.77105292064
"310",2.5e-06,28,-3804.17232034597
"311",3e-06,28,-3784.90447161814
"312",3.5e-06,28,-3778.28715507326
"313",4e-06,28,-3780.92970702536
"314",4.5e-06,28,-3790.64507991646
"315",5e-06,28,-3805.9399730651
"316",5.5e-06,28,-3825.74927590802
"317",6e-06,28,-3849.28655022843
"318",6.5e-06,28,-3875.95456620345
"319",7e-06,28,-3905.28908767623
"320",7.5e-06,28,-3936.9220987154
"321",8e-06,28,-3970.55692254638
"322",8.5e-06,28,-4005.95089677549
"323",9e-06,28,-4042.90300810665
"324",1e-06,29,-4023.68648091474
"325",1.5e-06,29,-3904.73465924626
"326",2e-06,29,-3838.66926798157
"327",2.5e-06,29,-3801.58352022432
"328",3e-06,29,-3782.82869564522
"329",3.5e-06,29,-3776.72444258501
"330",4e-06,29,-3779.88009736189
"331",4.5e-06,29,-3790.10861242281
"332",5e-06,29,-3805.91668709049
"333",5.5e-06,29,-3826.2392108063
"334",6e-06,29,-3850.28974535789
"335",6.5e-06,29,-3877.4710609269
"336",7e-06,29,-3907.3189213609
"337",7.5e-06,29,-3939.46531073326
"338",8e-06,29,-3973.61355227382
"339",8.5e-06,29,-4009.52098359311
"340",9e-06,29,-4046.98659139997
"341",1e-06,30,-4020.01420825518
"342",1.5e-06,30,-3901.53586901173
"343",2e-06,30,-3835.94399765061
"344",2.5e-06,30,-3799.33180727941
"345",3e-06,30,-3781.05057757367
"346",3.5e-06,30,-3775.4199568782
"347",4e-06,30,-3779.04928151571
"348",4.5e-06,30,-3789.75150393735
"349",5e-06,30,-3806.03332347049
"350",5.5e-06,30,-3826.82962956078
"351",6e-06,30,-3851.35398400031
"352",6.5e-06,30,-3879.00915697484
"353",7e-06,30,-3909.33091233669
"354",7.5e-06,30,-3941.95123416336
"355",8e-06,30,-3976.57344568924
"356",8.5e-06,30,-4012.95488452923
"357",9e-06,30,-4050.89453739649
"358",1e-06,31,-4016.76728272131
"359",1.5e-06,31,-3898.7255136726
"360",2e-06,31,-3833.57024820713
"361",2.5e-06,31,-3797.39469943674
"362",3e-06,31,-3779.55014704119
"363",3.5e-06,31,-3774.3562393697
"364",4e-06,31,-3778.42231274938
"365",4.5e-06,31,-3789.56131963538
"366",5e-06,31,-3806.27995935946
"367",5.5e-06,31,-3827.51312137148
"368",6e-06,31,-3852.47436746773
"369",6.5e-06,31,-3880.56646783844
"370",7e-06,31,-3911.32518633996
"371",7.5e-06,31,-3944.38250705443
"372",8e-06,31,-3979.44175322003
"373",8.5e-06,31,-4016.26026245631
"374",9e-06,31,-4054.63702148056
"375",1e-06,32,-4013.91862158743
"376",1.5e-06,32,-3896.27881991246
"377",2e-06,32,-3831.52555580915
"378",2.5e-06,32,-3795.75204239343
"379",3e-06,32,-3778.3095593492
"380",3.5e-06,32,-3773.51775502963
"381",4e-06,32,-3777.98596576622
"382",4.5e-06,32,-3789.52714401835
"383",5e-06,32,-3806.64798912168
"384",5.5e-06,32,-3828.28339053024
"385",6e-06,32,-3853.64691004475
