mu,Ne,LL
8.75e-6,10.1,-3469.354203328246
9e-6,10.1,-3477.556424802419
1e-6,10.15,-3795.5068996013833
1.2499999999999999e-6,10.15,-3716.2169757128377
1.5e-6,10.15,-3655.256308516529
1.75e-6,10.15,-3606.944546234062
2e-6,10.15,-3567.89102506482
2.25e-6,10.15,-3535.906355781566
2.4999999999999998e-6,10.15,-3509.5016605017595
2.75e-6,10.15,-3487.609747184592
3e-6,10.15,-3469.444177498822
3.25e-6,10.15,-3454.407721506866
3.5e-6,10.15,-3442.0361429376458
3.7499999999999997e-6,10.15,-3431.9614257452863
4e-6,10.15,-3423.886893040642
4.25e-6,10.15,-3417.5698823154503
4.5e-6,10.15,-3412.8093801592763
4.749999999999999e-6,10.15,-3409.4370046575746
4.9999999999999996e-6,10.15,-3407.310303520406
5.25e-6,10.15,-3406.3076890486223
5.5e-6,10.15,-3406.3245524695867
5.75e-6,10.15,-3407.270242720269
6e-6,10.15,-3409.0656886988036
6.2499999999999995e-6,10.15,-3411.6415072224136
6.5e-6,10.15,-3414.9364822938346
6.75e-6,10.15,-3418.8963315240135
7e-6,10.15,-3423.4726970064803
7.25e-6,10.15,-3428.6223133503877
7.499999999999999e-6,10.15,-3434.306316814472
7.75e-6,10.15,-3440.4896677639717
8e-6,10.15,-3447.1406648515886
8.249999999999999e-6,10.15,-3454.230533978369
8.5e-6,10.15,-3461.7330786328494
8.75e-6,10.15,-3469.6243809292164
9e-6,10.15,-3477.8825447709214
1e-6,10.2,-3794.0532534329573
1.2499999999999999e-6,10.2,-3714.8189853452877
1.5e-6,10.2,-3653.9139749803517
1.75e-6,10.2,-3605.657870559936
2e-6,10.2,-3566.660008283633
2.25e-6,10.2,-3534.730987388373
2.4999999999999998e-6,10.2,-3508.3819517809675
2.75e-6,10.2,-3486.545699166741
3e-6,10.2,-3468.435791214719
3.25e-6,10.2,-3453.4549979875874
3.5e-6,10.2,-3441.139083213603
3.7499999999999997e-6,10.2,-3431.12003084771
4e-6,10.2,-3423.101164000151
4.25e-6,10.2,-3416.8398201630544
4.5e-6,10.2,-3412.1349859258576
4.749999999999999e-6,10.2,-3408.8182793741867
4.9999999999999996e-6,10.2,-3406.7472482179683
5.25e-6,10.2,-3405.80030475824
5.5e-6,10.2,-3405.8728402223087
5.75e-6,10.2,-3406.87420354729
6e-6,10.2,-3408.7253236310853
6.2499999999999995e-6,10.2,-3411.356817291137
6.5e-6,10.2,-3414.7074685301923
6.75e-6,10.2,-3418.7229949592756
7e-6,10.2,-3423.3550386718657
7.25e-6,10.2,-3428.560334277059
7.499999999999999e-6,10.2,-3434.300018033871
7.75e-6,10.2,-3440.5390503072836
8e-6,10.2,-3447.245729750369
8.249999999999999e-6,10.2,-3454.391282263807
8.5e-6,10.2,-3461.9495113363837
8.75e-6,10.2,-3469.896499082496
9e-6,10.2,-3478.2103494051303
1e-6,10.25,-3792.609379452993
1.2499999999999999e-6,10.25,-3713.4305128978044
1.5e-6,10.25,-3652.5809050947196
1.75e-6,10.25,-3604.380204265723
2e-6,10.25,-3565.4377466100345
2.25e-6,10.25,-3533.564119829854
2.4999999999999998e-6,10.25,-3507.270489620363
2.75e-6,10.25,-3485.4896434334632
3e-6,10.25,-3467.435142938478
3.25e-6,10.25,-3452.509758197472
3.5e-6,10.25,-3440.2492529398105
3.7499999999999997e-6,10.25,-3430.285611119344
4e-6,10.25,-3422.3221558473783
4.25e-6,10.25,-3416.116224615442
4.5e-6,10.25,-3411.4668040129104
4.749999999999999e-6,10.25,-3408.205512125861
4.9999999999999996e-6,10.25,-3406.1898966638423
5.25e-6,10.25,-3405.2983699282695
5.5e-6,10.25,-3405.426323146219
5.75e-6,10.25,-3406.483105255074
6e-6,10.25,-3408.3896451524106
6.2499999999999995e-6,10.25,-3411.0765596562105
6.5e-6,10.25,-3414.482632768929
6.75e-6,10.25,-3418.5535821014564
7e-6,10.25,-3423.2410497477254
7.25e-6,10.25,-3428.5017703165163
7.499999999999999e-6,10.25,-3434.29688006705
7.75e-6,10.25,-3440.591339364197
8e-6,10.25,-3447.353446861297
