combined.initial.extinct.1M.log	NeParameter
19.481250000000294	5.342312989145828E-5
19.493750000000293	5.38006593314397E-5
19.506250000000293	5.417818877142112E-5
19.518750000000292	5.4570202690880445E-5
19.53125000000029	5.4980666163697825E-5
19.54375000000029	5.5391129636515205E-5
19.55625000000029	5.580159310933259E-5
19.56875000000029	5.621205658214997E-5
19.58125000000029	5.662252005496735E-5
19.593750000000288	5.703298352778473E-5
19.606250000000287	5.744344700060211E-5
19.618750000000286	5.78539104734195E-5
19.631250000000286	5.826437394623688E-5
19.643750000000285	5.867483741905426E-5
19.656250000000284	5.908530089187164E-5
19.668750000000284	5.949576436468903E-5
19.681250000000283	5.990622783750641E-5
19.693750000000282	6.031669131032379E-5
19.70625000000028	6.072715478314117E-5
19.71875000000028	6.115191428088835E-5
19.73125000000028	6.159663638382373E-5
19.74375000000028	6.20413584867591E-5
19.75625000000028	6.248608058969447E-5
19.768750000000278	6.293080269262983E-5
19.781250000000277	6.337552479556521E-5
19.793750000000276	6.382024689850058E-5
19.806250000000276	6.426496900143596E-5
19.818750000000275	6.470969110437133E-5
19.831250000000274	6.51544132073067E-5
19.843750000000274	6.559913531024208E-5
19.856250000000273	6.604385741317744E-5
19.868750000000272	6.648857951611281E-5
19.88125000000027	6.693330161904818E-5
19.89375000000027	6.737802372198356E-5
19.90625000000027	6.782274582491893E-5
19.91875000000027	6.828152649451337E-5
19.93125000000027	6.876185872104738E-5
19.943750000000268	6.924219094758138E-5
19.956250000000267	6.972252317411539E-5
19.968750000000266	7.02028554006494E-5
19.981250000000266	7.068318762718342E-5
19.993750000000265	7.116351985371742E-5
20.006250000000264	7.164385208025143E-5
20.018750000000264	7.212418430678544E-5
20.031250000000263	7.260451653331945E-5
20.043750000000262	7.308484875985345E-5
20.05625000000026	7.356518098638746E-5
20.06875000000026	7.404551321292147E-5
20.08125000000026	7.452584543945547E-5
20.09375000000026	7.500617766598948E-5
20.10625000000026	7.54865098925235E-5
20.118750000000258	7.598063072045522E-5
20.131250000000257	7.649800065016899E-5
20.143750000000257	7.701537057988277E-5
20.156250000000256	7.753274050959654E-5
20.168750000000255	7.805011043931033E-5
20.181250000000254	7.85674803690241E-5
20.193750000000254	7.908485029873788E-5
20.206250000000253	7.960222022845165E-5
20.218750000000252	8.011959015816542E-5
20.23125000000025	8.06369600878792E-5
20.24375000000025	8.115433001759297E-5
20.25625000000025	8.167169994730675E-5
20.26875000000025	8.218906987702052E-5
20.28125000000025	8.27064398067343E-5
20.293750000000248	8.322380973644807E-5
20.306250000000247	8.374117966616185E-5
20.318750000000247	8.427205245678632E-5
20.331250000000246	8.482802627723785E-5
20.343750000000245	8.538400009768939E-5
20.356250000000244	8.593997391814091E-5
20.368750000000244	8.649594773859244E-5
20.381250000000243	8.705192155904398E-5
20.393750000000242	8.760789537949551E-5
20.40625000000024	8.816386919994705E-5
20.41875000000024	8.871984302039858E-5
20.43125000000024	8.927581684085012E-5
20.44375000000024	8.983179066130165E-5
20.45625000000024	9.038776448175318E-5
20.468750000000238	9.09437383022047E-5
20.481250000000237	9.149971212265624E-5
20.493750000000237	9.205568594310777E-5
20.506250000000236	9.261165976355931E-5
20.518750000000235	9.318085048469017E-5
20.531250000000234	9.377720911694501E-5
20.543750000000234	9.437356774919984E-5
20.556250000000233	9.496992638145468E-5
20.568750000000232	9.55662850137095E-5
20.58125000000023	9.616264364596433E-5
20.59375000000023	9.675900227821917E-5
20.60625000000023	9.7355360910474E-5
20.61875000000023	9.795171954272884E-5
20.63125000000023	9.854807817498366E-5
20.643750000000228	9.91444368072385E-5
20.656250000000227	9.974079543949333E-5
20.668750000000227	1.0033715407174816E-4
20.681250000000226	1.00933512704003E-4
20.693750000000225	1.0152987133625782E-4
20.706250000000225	1.0212622996851266E-4
20.718750000000224	1.0273553210758462E-4
20.731250000000223	1.0337436073104211E-4
20.743750000000222	1.040131893544996E-4
20.75625000000022	1.0465201797795711E-4
20.76875000000022	1.052908466014146E-4
20.78125000000022	1.0592967522487209E-4
20.79375000000022	1.0656850384832958E-4
20.80625000000022	1.0720733247178707E-4
20.818750000000218	1.0784616109524456E-4
20.831250000000217	1.0848498971870207E-4
20.843750000000217	1.0912381834215956E-4
20.856250000000216	1.0976264696561705E-4
20.868750000000215	1.1040147558907454E-4
20.881250000000215	1.1104030421253203E-4
20.893750000000214	1.1167913283598952E-4
20.906250000000213	1.1231796145944703E-4
20.918750000000212	1.1296948106456921E-4
20.93125000000021	1.1365327130914475E-4
20.94375000000021	1.143370615537203E-4
20.95625000000021	1.1502085179829586E-4
20.96875000000021	1.1570464204287141E-4
20.98125000000021	1.1638843228744697E-4
20.993750000000208	1.170722225320225E-4
21.006250000000207	1.1775601277659806E-4
21.018750000000207	1.1843980302117361E-4
21.031250000000206	1.1912359326574917E-4
21.043750000000205	1.1980738351032471E-4
21.056250000000205	1.2049117375490026E-4
21.068750000000204	1.2117496399947581E-4
21.081250000000203	1.2185875424405135E-4
21.093750000000203	1.225425444886269E-4
21.106250000000202	1.2322633473320246E-4
21.1187500000002	1.23922586360495E-4
21.1312500000002	1.2465434987406085E-4
21.1437500000002	1.253861133876267E-4
21.1562500000002	1.2611787690119253E-4
21.1687500000002	1.2684964041475837E-4
21.181250000000198	1.275814039283242E-4
21.193750000000197	1.2831316744189004E-4
21.206250000000196	1.2904493095545588E-4
21.218750000000195	1.2977669446902172E-4
21.231250000000195	1.3050845798258755E-4
21.243750000000194	1.312402214961534E-4
21.256250000000193	1.3197198500971923E-4
21.268750000000193	1.3270374852328507E-4
21.281250000000192	1.334355120368509E-4
21.29375000000019	1.3416727555041674E-4
21.30625000000019	1.3489903906398258E-4
21.31875000000019	1.3564305137831164E-4
21.33125000000019	1.3642644290716367E-4
21.34375000000019	1.372098344360157E-4
21.356250000000188	1.3799322596486774E-4
21.368750000000187	1.3877661749371977E-4
21.381250000000186	1.395600090225718E-4
21.393750000000185	1.4034340055142384E-4
21.406250000000185	1.4112679208027587E-4
21.418750000000184	1.4191018360912793E-4
21.431250000000183	1.4269357513797996E-4
21.443750000000183	1.43476966666832E-4
21.456250000000182	1.4426035819568403E-4
21.46875000000018	1.4504374972453606E-4
21.48125000000018	1.458271412533881E-4
21.49375000000018	1.4661053278224013E-4
21.50625000000018	1.4739392431109216E-4
21.51875000000018	1.4818935361037767E-4
21.531250000000178	1.4902880117607782E-4
21.543750000000177	1.4986824874177793E-4
21.556250000000176	1.5070769630747807E-4
21.568750000000176	1.5154714387317821E-4
21.581250000000175	1.5238659143887836E-4
21.593750000000174	1.532260390045785E-4
21.606250000000173	1.540654865702786E-4
21.618750000000173	1.5490493413597875E-4
21.631250000000172	1.557443817016789E-4
21.64375000000017	1.5658382926737904E-4
21.65625000000017	1.5742327683307915E-4
21.66875000000017	1.582627243987793E-4
21.68125000000017	1.5910217196447944E-4
21.69375000000017	1.5994161953017958E-4
21.706250000000168	1.6078106709587972E-4
21.718750000000167	1.6163231657034897E-4
21.731250000000166	1.6253315581491107E-4
21.743750000000166	1.634339950594732E-4
21.756250000000165	1.6433483430403534E-4
21.768750000000164	1.6523567354859744E-4
21.781250000000163	1.6613651279315958E-4
21.793750000000163	1.6703735203772168E-4
21.806250000000162	1.679381912822838E-4
21.81875000000016	1.6883903052684594E-4
21.83125000000016	1.6973986977140805E-4
21.84375000000016	1.7064070901597018E-4
21.85625000000016	1.7154154826053231E-4
21.86875000000016	1.7244238750509442E-4
21.881250000000158	1.7334322674965655E-4
21.893750000000157	1.7424406599421866E-4
21.906250000000156	1.751449052387808E-4
21.918750000000156	1.7605724735774553E-4
21.931250000000155	1.7702585668858645E-4
21.943750000000154	1.7799446601942737E-4
21.956250000000153	1.7896307535026832E-4
21.968750000000153	1.7993168468110924E-4
21.981250000000152	1.8090029401195015E-4
21.99375000000015	1.8186890334279107E-4
22.00625000000015	1.8283751267363202E-4
22.01875000000015	1.8380612200447294E-4
22.03125000000015	1.8477473133531386E-4
22.04375000000015	1.8574334066615478E-4
22.056250000000148	1.8671194999699572E-4
22.068750000000147	1.8768055932783664E-4
22.081250000000146	1.8864916865867756E-4
22.093750000000146	1.896177779895185E-4
22.106250000000145	1.9058638732035943E-4
22.118750000000144	1.9156608638228734E-4
22.131250000000144	1.9261001920519138E-4
22.143750000000143	1.9365395202809542E-4
